,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind Speed
123,muros,100,ES,1608068994,92,42.78,-9.06,285.37,8.94
124,hilo,20,US,1608068735,61,19.73,-155.09,300.15,2.1
125,havoysund,75,NO,1608068994,97,71.0,24.66,274.15,0.5
126,kozmodemyansk,75,RU,1608068994,78,56.34,46.57,265.15,4.0
127,tuburan,75,PH,1608068994,94,6.64,122.27,298.15,2.6
128,faya,0,SA,1608068994,76,18.39,42.45,285.15,1.24
129,voh,2,NC,1608068994,60,-20.97,164.7,300.97,2.05
130,pastavy,99,BY,1608068994,97,55.12,26.83,271.21,4.88
131,zaraza,56,VE,1608068995,84,9.35,-65.32,298.39,2.84
132,airai,94,TL,1608068995,100,-8.93,125.41,289.95,0.96
133,yellowknife,20,CA,1608068881,73,62.46,-114.35,238.15,3.1
134,chapais,1,CA,1608068824,76,49.78,-74.85,249.15,3.6
135,banjar,75,ID,1608068995,94,-8.19,114.97,298.15,4.1
136,majene,100,ID,1608068995,79,-3.54,118.97,299.16,2.83
137,upernavik,0,GL,1608068995,79,72.79,-56.15,261.37,1.8
138,saskylakh,16,RU,1608068995,83,71.92,114.08,238.47,2.23
139,srednekolymsk,100,RU,1608068995,86,67.45,153.68,241.45,1.74
140,najran,0,SA,1608068995,55,17.49,44.13,285.15,0.98
141,balaipungut,100,ID,1608068995,92,1.05,101.28,296.91,1.22
142,tanete,100,ID,1608068995,83,-3.94,119.78,298.03,1.88
143,castro,1,BR,1608068995,91,-24.79,-50.01,292.9,1.88
144,kenai,90,US,1608068979,79,60.55,-151.26,270.37,1.5
145,redmond,100,US,1608068995,93,47.67,-122.12,282.04,0.45
146,mujiayingzi,0,CN,1608068995,82,42.12,118.78,251.95,3.75
147,yar-sale,100,RU,1608068996,90,66.83,70.83,253.19,7.52
148,moose factory,1,CA,1608068996,69,51.26,-80.61,251.15,4.1
149,zaysan,1,KZ,1608068996,84,47.47,84.87,253.48,0.31
150,carnarvon,90,AU,1608068996,94,-24.87,113.63,294.15,8.2
151,tagusao,95,PH,1608068996,80,9.19,117.81,299.14,1.72
152,jega,6,NG,1608068996,18,12.22,4.38,299.01,4.35
153,vestmannaeyjar,84,IS,1608068996,70,63.44,-20.27,279.5,4.46
154,sitka,75,US,1608068996,78,57.05,-135.33,280.15,7.2
155,vardo,75,NO,1608068996,80,70.37,31.11,274.15,4.6
156,san patricio,90,US,1608068996,60,28.02,-97.52,293.15,4.1
157,bengkulu,100,ID,1608068996,84,-3.8,102.27,297.59,2.34
158,cape town,0,ZA,1608068997,72,-33.93,18.42,291.48,9.8
159,laiya,72,PH,1608068997,94,13.68,121.39,297.59,5.82
160,grindavik,75,IS,1608068997,75,63.84,-22.43,278.15,8.7
161,sinnamary,100,GF,1608068997,84,5.38,-52.95,299.27,3.46
162,sola,40,VU,1608068997,74,-13.88,167.55,303.15,5.1
163,adrar,0,MR,1608068997,24,20.5,-10.07,292.98,2.81
164,bonfim,20,BR,1608068997,52,3.08,-59.95,307.15,6.2
165,ndola,100,ZM,1608068997,93,-12.96,28.64,291.51,0.8
166,huarmey,58,PE,1608068997,71,-10.07,-78.15,295.23,4.03
167,luanda,20,AO,1608068980,78,-8.84,13.23,298.15,3.1
168,tura,0,IN,1608068997,85,25.52,90.22,288.16,1.66
169,dikson,0,RU,1608068997,86,73.51,80.55,243.87,1.08
170,kavaratti,0,IN,1608068998,64,10.57,72.64,300.51,1.71
